id,name,unitLastWord,unitSeqLast,word,docTokenSeqFirst,docTokenSeqLast,local,identifiable,topic,interrog,argType,animate,self,addressee,length,pronom
0IVQAmFspqo,phur sgron,བྱས་ ཙང་ ང་ ཡང་ གནམ་ ལ་ བལྟས་ སྡོད་ ཡོད །,5,ང་ ཡང་,19,20,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,2,TRUE
lwcofUPHhtC,gnam,བྱས་ ཙང་ ང་ ཡང་ གནམ་ ལ་ བལྟས་ སྡོད་ ཡོད །,5,གནམ་ ལ་,21,22,TRUE,i,FALSE,FALSE,P,FALSE,FALSE,FALSE,2,FALSE
QQU8t5W5CO3,phur sgron,མདང་དགུང་ ང ར་ རྨི་ལམ་ ཆོབ་ ཚ་པོ་ ཞིག་ བཏང་ བྱུང་ །,12,ང ར་,49,50,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,1,TRUE
r8jbH87lwlb,phur sgron gyi rmi lam,མདང་དགུང་ ང ར་ རྨི་ལམ་ ཆོབ་ ཚ་པོ་ ཞིག་ བཏང་ བྱུང་ །,12,རྨི་ལམ་ ཆོབ་ ཚ་པོ་ ཞིག་,51,54,FALSE,n,FALSE,FALSE,P,FALSE,FALSE,FALSE,6,FALSE
VHUPF3W5HR1,nga gnyis gnyis,ང་ གཉིས་ གཉིས་ མདང་དགུང་ དགོང་དག་ ཏག་ བར་བསྐོར་ ནང་ ཁྲོམ་ ལ་ འགྲོ་ གི་ འདུག་ ག,16,ང་ གཉིས་ གཉིས་,68,70,TRUE,i,FALSE,FALSE,S,TRUE,TRUE,FALSE,3,TRUE
JWpw7TFgQWY,bar bskor,ང་ གཉིས་ གཉིས་ མདང་དགུང་ དགོང་དག་ ཏག་ བར་བསྐོར་ ནང་ ཁྲོམ་ ལ་ འགྲོ་ གི་ འདུག་ ག,16,བར་བསྐོར་ ནང་ ཁྲོམ་ ལ་,74,77,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,5,FALSE
chkv6n4dgQj,zla sgron,ཨ་ནི་ རང་ གིས་,22,རང་ གིས་,107,108,TRUE,i,FALSE,FALSE,A,TRUE,FALSE,TRUE,2,TRUE
9jpaDpkWtO1,phur sgron,ཨ་ནི་ ང་ ལ་ ཡར་ ཅིག་ བྱེད་ ཀྱི་ མི་ འདུག་ ག,23,ང་ ལ་,110,111,TRUE,i,FALSE,FALSE,P,TRUE,TRUE,FALSE,2,TRUE
lwAKUA5hucy,gsang spyod rnyed ya,<0> གསང་སྤྱོད་ ག་པ ར་ རྙེད་ ཡ་ ཡོད་ རེད །,27,གསང་སྤྱོད་,138,138,FALSE,n,TRUE,FALSE,P,FALSE,FALSE,FALSE,2,FALSE
Mh9yOPGtzye,ga par,<0> གསང་སྤྱོད་ ག་པ ར་ རྙེད་ ཡ་ ཡོད་ རེད །,27,ག་པ ར་,139,140,FALSE,n,FALSE,TRUE,E,FALSE,FALSE,FALSE,2,TRUE
WvrkcgS6aJT,phur sgron,ད་ ང་ ག ར་ སླེབས་པ་ <0> ཐིག་པ་ བྱོས་ དང་ །,37,ང་,195,195,TRUE,i,TRUE,FALSE,S,TRUE,TRUE,FALSE,1,TRUE
xtDqzjZDZxQ,las khungs,ད་ ང་ ག ར་ སླེབས་པ་ <0> ཐིག་པ་ བྱོས་ དང་ །,37,ག ར་,196,197,FALSE,n,FALSE,TRUE,E,FALSE,FALSE,FALSE,1,TRUE
nH7zLfPvRTZ,bar bskor,<0> ཁྲོམ་ ནས་ ལས་ཁུངས་ ས་ཆ འི་ ནང་ སླེབས་ ཡོད་ རེད །,41,ཁྲོམ་ ནས་,219,220,FALSE,i,FALSE,FALSE,E,FALSE,FALSE,FALSE,2,FALSE
bnGBwHBu5gY,las khungs,<0> ཁྲོམ་ ནས་ ལས་ཁུངས་ ས་ཆ འི་ ནང་ སླེབས་ ཡོད་ རེད །,41,ལས་ཁུངས་ ས་ཆ འི་ ནང་,221,224,FALSE,n,FALSE,FALSE,E,FALSE,FALSE,FALSE,5,FALSE
uIiVQC4rfJr,phur sgron,## <0> ངས་ རང་ ལ་ ལབ་ ཀྱི་ མིན །,47,ངས་,262,262,TRUE,i,FALSE,FALSE,A,TRUE,TRUE,FALSE,1,TRUE
u1cDhiyywbW,zla sgron,## <0> ངས་ རང་ ལ་ ལབ་ ཀྱི་ མིན །,47,རང་ ལ་,263,264,TRUE,i,FALSE,FALSE,E,TRUE,FALSE,TRUE,2,TRUE
